	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	
0	 	-27,15,30,-43,15		-23,2,23,-60,17		-16,12,20,-37,14		-29,19,34,-40,31		-24,-41,47,-106,-22		-12,-44,45,-117,-85		-28,18,33,-40,-26		-16,71,72,-9,89		-4,11,11,-14,82		-46,15,48,-51,26		-55,21,58,-49,36		-6,-23,23,-117,-2		18,-50,53,113,-73		1,16,16,2,-34		-8,39,39,-8,55		-6,-24,24,-118,15		1,-41,41,127,-65		-22,-35,41,-105,-76		-56,-23,60,-79,-58		-30,53,60,-20,30		41,58,71,25,111		79,-11,79,69,47		60,-64,87,97,-75		0	 	
0	 	-23,11,25,-45,26		-27,7,27,-53,5		-44,-3,44,-66,14		-25,40,47,-22,44		22,-10,24,81,-30		23,-63,67,113,-76		14,12,18,35,11		10,85,85,4,150		-10,-12,15,-99,13		-34,-29,44,-92,-37		-72,18,74,-54,-5		-81,19,83,-54,-7		-45,-32,55,-89,-40		-11,15,18,-25,49		-3,40,40,-3,78		-1,-20,20,-125,-43		4,-34,34,123,-71		2,-67,67,126,-95		2,-26,26,124,-81		3,82,82,1,132		-16,81,82,-7,168		-44,-24,50,-84,-12		-20,-47,51,-111,-124		0	 	
0	 	24,14,27,42,25		44,20,48,46,30		37,-38,53,96,-28		-19,38,42,-18,43		-36,22,42,-41,10		11,-46,47,118,-77		46,21,50,46,50		10,36,37,11,130		-19,-11,21,-85,-72		7,-28,28,118,-56		5,-22,22,118,-3		-21,24,31,-29,3		-6,16,17,-14,-11		13,19,23,24,82		-8,22,23,-14,66		1,10,10,4,-28		32,-28,42,93,-32		23,-83,86,116,-144		15,-19,24,100,-61		16,78,79,8,167		-5,46,46,-4,123		-21,-33,39,-104,-92		-8,-1,8,-69,-57		0	 	
0	 	50,-7,50,69,7		26,37,45,24,36		24,-66,70,113,-87		-10,-24,26,-111,-14		-48,28,55,-42,-12		-20,23,30,-29,-17		16,22,27,25,112		-18,-35,39,-108,2		-47,2,47,-62,-80		-9,23,24,-15,8		30,-36,46,99,-7		3,-16,16,120,-6		-33,36,48,-30,12		-14,37,39,-14,76		14,11,17,36,51		-5,12,13,-16,11		-50,-44,66,-93,-70		-40,-65,76,-105,-164		9,4,9,46,3		14,61,62,9,162		-2,26,26,-3,55		-9,-35,36,-117,-88		-5,18,18,-11,15		0	 	
0	 	-3,-14,14,-119,-21		-10,14,17,-25,44		-39,-74,83,-108,-163		-13,-23,26,-107,-55		25,27,36,30,56		6,35,35,6,57		-26,14,29,-43,48		-2,-37,37,-125,-80		24,2,24,60,2		-2,35,35,-2,58		-8,-16,17,-109,-40		9,-47,47,120,-43		-25,-4,25,-70,1		-58,61,84,-30,58		-7,65,65,-4,100		36,-19,40,83,47		36,-59,69,105,-134		59,-18,61,76,-98		59,6,59,59,57		29,34,44,28,97		4,11,11,14,10		-28,-58,64,-109,-108		-35,37,50,-30,32		0	 	
0	 	-43,-5,43,-68,-19		-31,9,32,-52,32		26,-40,47,104,-119		69,12,70,56,23		59,20,62,50,82		29,-6,29,72,22		6,0,6,64,-27		4,-2,4,82,-53		-7,-19,20,-113,18		-42,-5,42,-68,9		-28,34,44,-28,-22		34,-18,38,83,-15		47,-52,70,98,-27		29,58,64,18,71		-10,81,81,-5,143		-39,-21,44,-84,-24		4,-14,14,116,-75		46,3,46,61,30		30,-30,42,96,-3		5,16,16,12,14		-8,-9,12,-98,-16		-26,-87,90,-116,-165		-22,63,66,-13,71		0	 	
0	 	-26,-19,32,-89,-24		-27,34,43,-27,29		8,27,28,11,12		41,19,45,46,98		28,-9,29,76,18		-8,-43,43,-120,-78		-11,11,15,-32,-26		11,7,13,40,16		-1,-50,50,-127,-60		-7,-16,17,-111,-52		16,81,82,7,104		12,-9,15,90,20		-3,-63,63,-126,-106		-1,53,53,0,100		-29,19,34,-40,95		-44,-2,44,-65,-85		-25,30,39,-28,35		-24,2,24,-60,49		-3,-25,25,-123,-56		14,4,14,52,25		-12,-37,38,-115,-58		-22,-86,88,-117,-201		0,87,87,0,151		0	 	
0	 	-2,-17,17,-123,-36		9,42,42,8,78		-11,35,36,-12,70		-46,9,46,-56,36		-45,-10,46,-72,-29		-34,-68,76,-109,-112		-23,43,48,-20,29		12,31,33,15,70		22,-75,78,116,-101		17,-1,17,66,-42		12,84,84,5,180		9,-19,21,109,-25		11,-66,66,121,-139		-28,19,33,-39,69		-47,5,47,-59,-10		-15,29,32,-19,13		-21,12,24,-42,73		-64,-22,67,-77,-38		-72,10,72,-58,-39		-52,5,52,-60,44		-30,-44,53,-103,-80		19,-39,43,109,-132		49,91,103,20,225		0	 	
0	 	30,-14,33,81,-31		13,33,35,15,78		8,18,19,17,44		19,1,19,61,-7		5,-15,15,114,-33		0,-57,57,128,-130		17,59,61,11,113		-5,28,28,-7,75		-2,-59,59,-126,-137		45,25,51,43,40		40,48,62,28,158		5,-21,21,118,-76		14,-52,53,117,-120		43,-4,43,67,29		51,18,54,50,0		12,9,15,37,51		-46,-32,56,-88,-40		-39,-14,41,-78,-80		-17,16,23,-33,34		-32,5,32,-57,16		-30,-20,36,-87,-64		-11,6,12,-43,-9		-19,66,68,-11,202		0	 	
0	 	17,0,17,64,-14		21,7,22,50,54		3,20,20,6,12		10,18,20,20,21		10,-45,46,119,-43		-1,-42,42,-127,-129		-15,47,49,-12,121		-9,25,26,-14,41		40,-4,40,68,-66		67,44,80,40,124		55,12,56,55,79		34,-42,54,100,-99		17,-39,42,111,-112		23,16,28,39,25		44,27,51,41,65		57,-27,63,82,-9		61,-50,78,91,-118		54,4,54,60,-28		29,-4,29,69,30		28,9,29,51,-6		55,4,55,61,-12		56,3,56,61,33		-4,1,4,-54,64		0	 	
0	 	-27,15,30,-43,15		-23,2,23,-60,24		-16,12,20,-37,27		-29,19,34,-40,29		-24,-41,47,-106,-85		-12,-44,45,-117,-82		-28,18,33,-40,63		-16,71,72,-9,67		-4,11,11,-14,53		-46,15,48,-51,74		-55,21,58,-49,4		-6,-23,23,-117,-56		18,-50,53,113,-70		1,16,16,2,21		-8,39,39,-8,66		-6,-24,24,-118,-39		1,-41,41,127,-88		-22,-35,41,-105,-22		-56,-23,60,-79,-66		-30,53,60,-20,43		41,58,71,25,106		79,-11,79,69,46		60,-64,87,97,-77		0	 	
0	 	-23,11,25,-45,26		-27,7,27,-53,5		-44,-3,44,-66,14		-25,40,47,-22,44		22,-10,24,81,-30		23,-63,67,113,-76		14,12,18,35,11		10,85,85,4,150		-10,-12,15,-99,13		-34,-29,44,-92,-37		-72,18,74,-54,-5		-81,19,83,-54,-7		-45,-32,55,-89,-40		-11,15,18,-25,49		-3,40,40,-3,78		-1,-20,20,-125,-43		4,-34,34,123,-71		2,-67,67,126,-95		2,-26,26,124,-81		3,82,82,1,132		-16,81,82,-7,168		-44,-24,50,-84,-12		-20,-47,51,-111,-124		0	 	
0	 	24,14,27,42,25		44,20,48,46,30		37,-38,53,96,-28		-19,38,42,-18,43		-36,22,42,-41,10		11,-46,47,118,-77		46,21,50,46,50		10,36,37,11,130		-19,-11,21,-85,-72		7,-28,28,118,-56		5,-22,22,118,-3		-21,24,31,-29,3		-6,16,17,-14,-11		13,19,23,24,82		-8,22,23,-14,66		1,10,10,4,-28		32,-28,42,93,-32		23,-83,86,116,-144		15,-19,24,100,-61		16,78,79,8,167		-5,46,46,-4,123		-21,-33,39,-104,-92		-8,-1,8,-69,-57		0	 	
0	 	50,-7,50,69,7		26,37,45,24,36		24,-66,70,113,-87		-10,-24,26,-111,-14		-48,28,55,-42,-12		-20,23,30,-29,-17		16,22,27,25,112		-18,-35,39,-108,2		-47,2,47,-62,-80		-9,23,24,-15,8		30,-36,46,99,-7		3,-16,16,120,-6		-33,36,48,-30,12		-14,37,39,-14,76		14,11,17,36,51		-5,12,13,-16,11		-50,-44,66,-93,-70		-40,-65,76,-105,-164		9,4,9,46,3		14,61,62,9,162		-2,26,26,-3,55		-9,-35,36,-117,-88		-5,18,18,-11,15		0	 	
0	 	-3,-14,14,-119,-21		-10,14,17,-25,44		-39,-74,83,-108,-163		-13,-23,26,-107,-55		25,27,36,30,56		6,35,35,6,57		-26,14,29,-43,48		-2,-37,37,-125,-80		24,2,24,60,2		-2,35,35,-2,58		-8,-16,17,-109,-40		9,-47,47,120,-43		-25,-4,25,-70,1		-58,61,84,-30,58		-7,65,65,-4,100		36,-19,40,83,47		36,-59,69,105,-134		59,-18,61,76,-98		59,6,59,59,57		29,34,44,28,97		4,11,11,14,10		-28,-58,64,-109,-108		-35,37,50,-30,32		0	 	
0	 	-43,-5,43,-68,-19		-31,9,32,-52,32		26,-40,47,104,-119		69,12,70,56,23		59,20,62,50,82		29,-6,29,72,22		6,0,6,64,-27		4,-2,4,82,-53		-7,-19,20,-113,18		-42,-5,42,-68,9		-28,34,44,-28,-22		34,-18,38,83,-15		47,-52,70,98,-27		29,58,64,18,71		-10,81,81,-5,143		-39,-21,44,-84,-24		4,-14,14,116,-75		46,3,46,61,30		30,-30,42,96,-3		5,16,16,12,14		-8,-9,12,-98,-16		-26,-87,90,-116,-165		-22,63,66,-13,71		0	 	
0	 	-26,-19,32,-89,-24		-27,34,43,-27,29		8,27,28,11,12		41,19,45,46,98		28,-9,29,76,18		-8,-43,43,-120,-78		-11,11,15,-32,-26		11,7,13,40,16		-1,-50,50,-127,-60		-7,-16,17,-111,-52		16,81,82,7,104		12,-9,15,90,20		-3,-63,63,-126,-106		-1,53,53,0,100		-29,19,34,-40,95		-44,-2,44,-65,-85		-25,30,39,-28,35		-24,2,24,-60,49		-3,-25,25,-123,-56		14,4,14,52,25		-12,-37,38,-115,-58		-22,-86,88,-117,-201		0,87,87,0,151		0	 	
0	 	-2,-17,17,-123,-36		9,42,42,8,78		-11,35,36,-12,70		-46,9,46,-56,36		-45,-10,46,-72,-29		-34,-68,76,-109,-112		-23,43,48,-20,29		12,31,33,15,70		22,-75,78,116,-101		17,-1,17,66,-42		12,84,84,5,180		9,-19,21,109,-25		11,-66,66,121,-139		-28,19,33,-39,69		-47,5,47,-59,-10		-15,29,32,-19,13		-21,12,24,-42,73		-64,-22,67,-77,-38		-72,10,72,-58,-39		-52,5,52,-60,44		-30,-44,53,-103,-80		19,-39,43,109,-132		49,91,103,20,225		0	 	
0	 	30,-14,33,81,-31		13,33,35,15,78		8,18,19,17,44		19,1,19,61,-7		5,-15,15,114,-33		0,-57,57,128,-130		17,59,61,11,113		-5,28,28,-7,75		-2,-59,59,-126,-137		45,25,51,43,40		40,48,62,28,158		5,-21,21,118,-76		14,-52,53,117,-120		43,-4,43,67,29		51,18,54,50,0		12,9,15,37,51		-46,-32,56,-88,-40		-39,-14,41,-78,-80		-17,16,23,-33,34		-32,5,32,-57,16		-30,-20,36,-87,-64		-11,6,12,-43,-9		-19,66,68,-11,202		0	 	
0	 	17,0,17,64,-14		21,7,22,50,54		3,20,20,6,12		10,18,20,20,21		10,-45,46,119,-43		-1,-42,42,-127,-129		-15,47,49,-12,121		-9,25,26,-14,41		40,-4,40,68,-66		67,44,80,40,124		55,12,56,55,79		34,-42,54,100,-99		17,-39,42,111,-112		23,16,28,39,25		44,27,51,41,65		57,-27,63,82,-9		61,-50,78,91,-118		54,4,54,60,-28		29,-4,29,69,30		28,9,29,51,-6		55,4,55,61,-12		56,3,56,61,33		-4,1,4,-54,64		0	 	
0	 	-27,15,30,-43,15		-23,2,23,-60,24		-16,12,20,-37,27		-29,19,34,-40,29		-24,-41,47,-106,-85		-12,-44,45,-117,-82		-28,18,33,-40,63		-16,71,72,-9,67		-4,11,11,-14,53		-46,15,48,-51,74		-55,21,58,-49,4		-6,-23,23,-117,-56		18,-50,53,113,-70		1,16,16,2,21		-8,39,39,-8,66		-6,-24,24,-118,-39		1,-41,41,127,-88		-22,-35,41,-105,-22		-56,-23,60,-79,-66		-30,53,60,-20,43		41,58,71,25,106		79,-11,79,69,46		60,-64,87,97,-77		0	 	
0	 	-23,11,25,-45,26		-27,7,27,-53,5		-44,-3,44,-66,14		-25,40,47,-22,44		22,-10,24,81,-30		23,-63,67,113,-76		14,12,18,35,11		10,85,85,4,150		-10,-12,15,-99,13		-34,-29,44,-92,-37		-72,18,74,-54,-5		-81,19,83,-54,-7		-45,-32,55,-89,-40		-11,15,18,-25,49		-3,40,40,-3,78		-1,-20,20,-125,-43		4,-34,34,123,-71		2,-67,67,126,-95		2,-26,26,124,-81		3,82,82,1,132		-16,81,82,-7,168		-44,-24,50,-84,-12		-20,-47,51,-111,-124		0	 	
0	 	24,14,27,42,25		44,20,48,46,30		37,-38,53,96,-28		-19,38,42,-18,43		-36,22,42,-41,10		11,-46,47,118,-77		46,21,50,46,50		10,36,37,11,130		-19,-11,21,-85,-72		7,-28,28,118,-56		5,-22,22,118,-3		-21,24,31,-29,3		-6,16,17,-14,-11		13,19,23,24,82		-8,22,23,-14,66		1,10,10,4,-28		32,-28,42,93,-32		23,-83,86,116,-144		15,-19,24,100,-61		16,78,79,8,167		-5,46,46,-4,123		-21,-33,39,-104,-92		-8,-1,8,-69,-57		0	 	
0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	
