HW Results:

index (pixel, Gx, Gy, sqrt, atan, pixel_Integrale)
[ 0][ 0] (132,   0,   0,   0,   0, 33)
[ 0][ 1] (110,   0,   0,   0,   0, 35)
[ 0][ 2] (103,   0,   0,   0,   0, 34)
[ 0][ 3] ( 39,   0,   0,   0,   0, 18)
[ 0][ 4] (226,   0,   0,   0,   0, 61)
[ 0][ 5] (231,   0,   0,   0,   0, 73)
[ 0][ 6] ( 94,   0,   0,   0,   0, 41)
[ 0][ 7] (112,   0,   0,   0,   0, 38)
[ 0][ 8] (173,   0,   0,   0,   0, 52)
[ 0][ 9] ( 96,   0,   0,   0,   0, 37)
[ 0][10] (229,   0,   0,   0,   0, 66)
[ 0][11] (246,   0,   0,   0,   0, 78)
[ 0][12] (211,   0,   0,   0,   0, 72)
[ 0][13] ( 33,   0,   0,   0,   0, 26)
[ 0][14] (230,   0,   0,   0,   0, 64)
[ 0][15] (182,   0,   0,   0,   0, 61)
[ 0][16] (199,   0,   0,   0,   0, 65)
[ 0][17] ( 37,   0,   0,   0,   0, 25)
[ 0][18] ( 51,   0,   0,   0,   0, 19)
[ 0][19] (198,   0,   0,   0,   0, 54)
[ 0][20] (117,   0,   0,   0,   0, 42)
[ 0][21] ( 94,   0,   0,   0,   0, 34)
[ 0][22] (  1,   0,   0,   0,   0,  8)
[ 0][23] ( 81,   0,   0,   0,   0, 22)
[ 0][24] ( 49,   0,   0,   0,   0, 17)

[ 1][ 0] (135,   0,   0,   0,   0, 42)
[ 1][ 1] ( 92,  15, -27,  30, -43, 34)
[ 1][ 2] (248,   2, -23,  23, -60, 70)
[ 1][ 3] (132,  12, -16,  20, -37, 46)
[ 1][ 4] (192,  19, -29,  34, -39, 70)
[ 1][ 5] ( 54, -41, -24,  47,-106, 34)
[ 1][ 6] (104, -44, -12,  45,-118, 26)
[ 1][ 7] (  5,  18, -28,  33, -40,  7)
[ 1][ 8] (157,  71, -16,  72,  -9, 44)
[ 1][ 9] (204,  11,  -4,  11, -14, 58)
[ 1][10] (203,  15, -46,  48, -51, 72)
[ 1][11] (225,  21, -55,  58, -48, 77)
[ 1][12] (232, -23,  -6,  23,-118, 75)
[ 1][13] (225, -50,  18,  53, 113, 63)
[ 1][14] ( 42,  16,   1,  16,   2, 35)
[ 1][15] (182,  39,  -8,  39,  -8, 53)
[ 1][16] (229, -24,  -6,  24,-118, 71)
[ 1][17] (226, -41,   1,  41, 127, 64)
[ 1][18] (192, -35, -22,  41,-105, 62)
[ 1][19] ( 40, -23, -56,  60, -80, 34)
[ 1][20] ( 57,  53, -30,  60, -21, 19)
[ 1][21] (233,  58,  41,  71,  25, 61)
[ 1][22] (246, -11,  79,  79,  69, 70)
[ 1][23] (210, -64,  60,  87,  97, 73)
[ 1][24] ( 15,   0,   0,   0,   0, 20)

[ 2][ 0] (149,   0,   0,   0,   0, 47)
[ 2][ 1] (  8,  11, -23,  25, -45, 11)
[ 2][ 2] ( 75,   7, -27,  27, -53, 30)
[ 2][ 3] ( 20,  -3, -44,  44, -67,  6)
[ 2][ 4] (165,  40, -25,  47, -22, 48)
[ 2][ 5] (140, -10,  22,  24,  81, 38)
[ 2][ 6] (148, -63,  23,  67, 113, 44)
[ 2][ 7] (  6,  12,  14,  18,  34,  7)
[ 2][ 8] (113,  85,  10,  85,   4, 39)
[ 2][ 9] (197, -12, -10,  15,-100, 62)
[ 2][10] ( 55, -29, -34,  44, -93, 32)
[ 2][11] (126,  18, -72,  74, -53, 40)
[ 2][12] (185,  19, -81,  83, -54, 55)
[ 2][13] (159, -32, -45,  55, -90, 50)
[ 2][14] (148,  15, -11,  18, -25, 42)
[ 2][15] (229,  40,  -3,  40,  -3, 72)
[ 2][16] (123, -20,  -1,  20,-126, 53)
[ 2][17] ( 98, -34,   4,  34, 123, 36)
[ 2][18] ( 19, -67,   2,  67, 126, 13)
[ 2][19] ( 31, -26,   2,  26, 124,  4)
[ 2][20] ( 42,  82,   3,  82,   1,  7)
[ 2][21] (175,  81, -16,  82,  -8, 56)
[ 2][22] (247, -24, -44,  50, -85, 78)
[ 2][23] (147, -47, -20,  51,-112, 57)
[ 2][24] (155,   0,   0,   0,   0, 39)

[ 3][ 0] ( 55,   0,   0,   0,   0, 25)
[ 3][ 1] ( 75,  14,  24,  27,  41, 16)
[ 3][ 2] (178,  20,  44,  48,  46, 53)
[ 3][ 3] ( 73, -38,  37,  53,  96, 25)
[ 3][ 4] ( 34,  38, -19,  42, -18, 25)
[ 3][ 5] (234,  22, -36,  42, -41, 62)
[ 3][ 6] ( 83, -46,  11,  47, 118, 37)
[ 3][ 7] ( 53,  21,  46,  50,  46, 13)
[ 3][ 8] (196,  36,  10,  37,  11, 60)
[ 3][ 9] (158, -11, -19,  21, -86, 60)
[ 3][10] (177, -28,   7,  28, 117, 51)
[ 3][11] ( 51, -22,   5,  22, 118, 27)
[ 3][12] ( 37,  24, -21,  31, -29, 19)
[ 3][13] (142,  16,  -6,  17, -14, 39)
[ 3][14] ( 49,  19,  13,  23,  25, 20)
[ 3][15] (165,  22,  -8,  23, -14, 53)
[ 3][16] (235,  10,   1,  10,   4, 67)
[ 3][17] (230, -28,  32,  42,  93, 70)
[ 3][18] (211, -83,  23,  86, 116, 64)
[ 3][19] ( 20, -19,  15,  24, 100, 18)
[ 3][20] ( 95,  78,  16,  79,   8, 29)
[ 3][21] (202,  46,  -5,  46,  -4, 70)
[ 3][22] (147, -33, -21,  39,-105, 59)
[ 3][23] ( 94,  -1,  -8,   8, -70, 33)
[ 3][24] (190,   0,   0,   0,   0, 51)

[ 4][ 0] (192,   0,   0,   0,   0, 54)
[ 4][ 1] ( 52,  -7,  50,  50,  69, 24)
[ 4][ 2] (139,  37,  26,  45,  24, 50)
[ 4][ 3] (204, -66,  24,  70, 113, 56)
[ 4][ 4] ( 33, -24, -10,  26,-112, 22)
[ 4][ 5] ( 72,  28, -48,  55, -41, 32)
[ 4][ 6] (131,  23, -20,  30, -29, 34)
[ 4][ 7] (202,  22,  16,  27,  25, 53)
[ 4][ 8] (109, -35, -18,  39,-109, 52)
[ 4][ 9] ( 93,   2, -47,  47, -62, 36)
[ 4][10] (120,  23,  -9,  24, -15, 36)
[ 4][11] (160, -36,  30,  46,  99, 43)
[ 4][12] ( 95, -16,   3,  16, 120, 32)
[ 4][13] (137,  36, -33,  48, -29, 47)
[ 4][14] (241,  37, -14,  39, -14, 67)
[ 4][15] (174,  11,  14,  17,  36, 68)
[ 4][16] ( 76,  12,  -5,  13, -16, 39)
[ 4][17] (255, -44, -50,  66, -94, 74)
[ 4][18] (  8, -65, -40,  76,-106, 19)
[ 4][19] ( 84,   4,   9,   9,  46, 14)
[ 4][20] ( 69,  61,  14,  62,   9, 23)
[ 4][21] (201,  26,  -2,  26,  -3, 66)
[ 4][22] (132, -35,  -9,  36,-118, 46)
